Affiliations	Record Count	% of 13,573
MALIN SPACE SCI SYST	4	0.029
MAURY LEWIN ASTRON OBSERV	4	0.029
MIDAMER NAZARENE UNIV	4	0.029
MILLENNIUM INST ASTROPHYS	4	0.029
MINI MASS CONSULTING INC	4	0.029
MINNESOTA STATE COLLEGES UNIVERSITIES	4	0.029
MONTCLAIR STATE UNIVERSITY	4	0.029
MOUNT ALLISON UNIVERSITY	4	0.029
MUSEO LA PLATA	4	0.029
NAI VIRTUAL PLANETARY LAB	4	0.029
NASA GLENN RESEARCH CENTER	4	0.029
NATL INST TECHNOL	4	0.029
NIHON UNIVERSITY	4	0.029
NORTH DAKOTA STATE UNIVERSITY FARGO	4	0.029
NORTHUMBRIA UNIVERSITY	4	0.029
NORWEGIAN UNIVERSITY OF LIFE SCIENCES	4	0.029
OBSERV ASTRON ALBANYA	4	0.029
OBSERV NACL	4	0.029
OSAKA METROPOLITAN UNIVERSITY	4	0.029
POLYTECHNIC UNIVERSITY OF TURIN	4	0.029
PONTIFICIA UNIV CATOLICA RIO DE JANEIRO	4	0.029
ROCHESTER INSTITUTE OF TECHNOLOGY	4	0.029
ROYAL BELGIAN INST SPACE AERON BIRA IASB	4	0.029
ROYAL DUTCH SHELL	4	0.029
ROYAL NETHERLANDS ACADEMY OF ARTS SCIENCES	4	0.029
SACKLER FACULTY OF MEDICINE	4	0.029
SAINT PETERSBURG MINING UNIVERSITY	4	0.029
SEA EDUC ASSOC	4	0.029
SENER INGN SISTEMAS SA	4	0.029
SHANDONG UNIVERSITY OF SCIENCE TECHNOLOGY	4	0.029
SHANGHAI JIAO TONG UNIVERSITY	4	0.029
SOPHIA UNIVERSITY	4	0.029
SPACEFARING TECHNOL PVT LTD	4	0.029
SRI INTERNATIONAL	4	0.029
STATE OCEANIC ADMINISTRATION	4	0.029
TEXAS STATE UNIVERSITY SAN MARCOS	4	0.029
THE CHARLES STARK DRAPER LABORATORY INC	4	0.029
TUB	4	0.029
UNIV ESTATAL AMAZON	4	0.029
UNIV MAYOR SAN SIMON	4	0.029
UNIV NORTH ALABAMA	4	0.029
UNIVERSIDAD COSTA RICA	4	0.029
UNIVERSIDAD DE CADIZ	4	0.029
UNIVERSIDAD DE HUELVA	4	0.029
UNIVERSIDADE DE VIGO	4	0.029
UNIVERSIDADE FEDERAL DA PARAIBA	4	0.029
UNIVERSIDADE FEDERAL DO ABC UFABC	4	0.029
UNIVERSIDADE FEDERAL DO PARA	4	0.029
UNIVERSIDADE FEDERAL DO PARANA	4	0.029
UNIVERSIDADE FEDERAL FLUMINENSE	4	0.029
UNIVERSITY OF ALASKA ANCHORAGE	4	0.029
UNIVERSITY OF ANTWERP	4	0.029
UNIVERSITY OF BASEL	4	0.029
UNIVERSITY OF CAPE TOWN	4	0.029
UNIVERSITY OF CATANIA	4	0.029
UNIVERSITY OF CHEMISTRY TECHNOLOGY PRAGUE	4	0.029
UNIVERSITY OF ESSEX	4	0.029
UNIVERSITY OF FERRARA	4	0.029
UNIVERSITY OF INFORMATION TECHNOLOGY MANAGEMENT RZESZOW	4	0.029
UNIVERSITY OF JYVASKYLA	4	0.029
UNIVERSITY OF KWAZULU NATAL	4	0.029
UNIVERSITY OF LEOBEN	4	0.029
UNIVERSITY OF LINCOLN	4	0.029
UNIVERSITY OF LJUBLJANA	4	0.029
UNIVERSITY OF MINNESOTA HOSPITAL	4	0.029
UNIVERSITY OF NAMUR	4	0.029
UNIVERSITY OF NORTH FLORIDA	4	0.029
UNIVERSITY OF PERADENIYA	4	0.029
UNIVERSITY OF PISA	4	0.029
UNIVERSITY OF ROSTOCK	4	0.029
UNIVERSITY OF SILESIA IN KATOWICE	4	0.029
UNIVERSITY OF STIRLING	4	0.029
UNIVERSITY OF THE RYUKYUS	4	0.029
UNIVERSITY OF TOLEDO	4	0.029
UNIVERSITY OF WESTMINSTER	4	0.029
UNIVERSITY OF WISCONSIN MILWAUKEE	4	0.029
UNIVERSITY OF YORK UK	4	0.029
UNIVERSITY OF ZIELONA GORA	4	0.029
US DEPARTMENT OF VETERANS AFFAIRS	4	0.029
US FOOD DRUG ADMINISTRATION FDA	4	0.029
UT INSTITUTE OF AGRICULTURE	4	0.029
UTAH GEOL SURVEY	4	0.029
VALPARAISO UNIVERSITY	4	0.029
VETERANS HEALTH ADMINISTRATION VHA	4	0.029
WAGENINGEN UNIVERSITY RESEARCH	4	0.029
WESTERN ILLINOIS UNIVERSITY	4	0.029
WITEC	4	0.029
YESHIVA UNIVERSITY	4	0.029
ZELINSKY INSTITUTE OF ORGANIC CHEMISTRY	4	0.029
ADMATIS	3	0.022
AEOLIS RES	3	0.022
AL FARABI KAZAKH NATIONAL UNIVERSITY	3	0.022
ALEXANDRU IOAN CUZA UNIVERSITY	3	0.022
ALMA	3	0.022
AMER SOC ENGN EDUC	3	0.022
AMHERST COLLEGE	3	0.022
APACHE POINT OBSERV	3	0.022
ARIZONA STATE UNIVERSITY DOWNTOWN PHOENIX	3	0.022
AURA	3	0.022
AUSTRALIAN ASTRON OBSERV	3	0.022
AUSTRALIAN NUCLEAR SCIENCE TECHNOLOGY ORGANISATION	3	0.022
AUSTRIAN POLAR RES INST	3	0.022
B USOC	3	0.022
BANGOR UNIVERSITY	3	0.022
BARCELONA INSTITUTE OF SCIENCE TECHNOLOGY	3	0.022
BAST TECHNOL	3	0.022
BEIJING INSTITUTE OF NANOENERGY NANOSYSTEMS CAS	3	0.022
BEIJING NORMAL UNIVERSITY	3	0.022
BERLIN OFF	3	0.022
BETHANY COLL	3	0.022
BHABHA ATOMIC RESEARCH CENTER BARC	3	0.022
BIOLOGY CENTRE OF THE CZECH ACADEMY OF SCIENCES	3	0.022
BIOTECHMED GRAZ	3	0.022
BORESKOV INSTITUTE OF CATALYSIS SIBERIAN BRANCH RUSSIAN ACADEMY OF SCIENCES	3	0.022
BRYN MAWR COLLEGE	3	0.022
BUDAPEST UNIVERSITY OF TECHNOLOGY ECONOMICS	3	0.022
BUNDESWEHR UNIVERSITY MUNICH	3	0.022
CALTECH IPAC NASA EXOPLANET SCI INST	3	0.022
CANADIAN MUSEUM NAT	3	0.022
CARL SAGAN INST	3	0.022
CARLTON LE WILLOWS ACAD	3	0.022
CENTERS FOR DISEASE CONTROL PREVENTION USA	3	0.022
CENTRAL WASHINGTON UNIVERSITY	3	0.022
CENTRALE LILLE	3	0.022
CHARLES RIVER LABS	3	0.022
CHINESE PEOPLE S LIBERATION ARMY GENERAL HOSPITAL	3	0.022
CHRIST JR COLL	3	0.022
CIRAD	3	0.022
CLARK UNIVERSITY	3	0.022
CNR	3	0.022
COLBY COLLEGE	3	0.022
COLCOM	3	0.022
COLD REGIONS RESEARCH ENGINEERING LABORATORY CRREL	3	0.022
COLL BUDAPEST	3	0.022
CONISMA	3	0.022
CSIC CENTRE D ESTUDIS AVANCATS DE BLANES CEAB	3	0.022
CSIC CENTRO MEDITERRANEO DE INVESTIGACIONES MARINAS Y AMBIENTALES CMIMA	3	0.022
CSIC CENTRO NACIONAL DE BIOTECNOLOGIA CNB	3	0.022
CSIC INSTITUTO DE CIENCIAS DEL MAR ICM	3	0.022
CTR ASTRON HISPANO ALEMAN	3	0.022
CTR ASTROPHYS	3	0.022
CTR SPACE HABITABIL	3	0.022
CTR THEOL INQUIRY	3	0.022
CUMBRES OBSERV	3	0.022
CZECH UNIVERSITY OF LIFE SCIENCES PRAGUE	3	0.022
DANELL CONSULTING	3	0.022
DELAWARE BIOTECHNOL INST	3	0.022
DELAWARE STATE UNIVERSITY	3	0.022
DEPAUL UNIVERSITY	3	0.022
DIPARTIMENTO ASTRON	3	0.022
DYNAMAC CORPORATION	3	0.022
EARTH SCI CTR	3	0.022
EAST ASIAN OBSERV	3	0.022
EAST CHINA NORMAL UNIVERSITY	3	0.022
ECOLE DES PONTS PARISTECH	3	0.022
EMBRY RIDDLE AERONAUTICAL UNIVERSITY	3	0.022
ENVIRONM BIOTECHNOL CONSULTANTS	3	0.022
ESCG	3	0.022
ESF	3	0.022
ET HOME EVOLUT TRACERS HABITABIL MARS EARTH A	3	0.022
FLORIDA ATLANTIC UNIVERSITY	3	0.022
FLORIDA GULF COAST UNIVERSITY	3	0.022
FORDHAM UNIVERSITY	3	0.022
FORSYTH INSTITUTE	3	0.022
FOX CHASE CANCER CENTER	3	0.022
FREE UNIV BRUSSELS	3	0.022
FUNDACAO OSWALDO CRUZ	3	0.022
FUTURE FDN ASSOC	3	0.022
GEOL MUSEUM	3	0.022
GLOBAL GEOENERGY RES LTD	3	0.022
GOVT COLL SIROHI	3	0.022
GRAND PRA OBSERV	3	0.022
GRANT MACEWAN UNIV	3	0.022
HACETTEPE UNIVERSITY	3	0.022
HARBIN INSTITUTE OF TECHNOLOGY	3	0.022
HAWAII INST GEOPHYS PLANETOL	3	0.022
HELMHOLTZ CENTER FOR INFECTION RESEARCH	3	0.022
HONG KONG POLYTECHNIC UNIVERSITY	3	0.022
ICELAND METEOROL OFF	3	0.022
ICREA	3	0.022
ILIA STATE UNIVERSITY	3	0.022
IMT INSTITUT MINES TELECOM	3	0.022
INDIAN INSTITUTE OF TECHNOLOGY IIT GANDHINAGAR	3	0.022
INNSBRUCK OFF	3	0.022
INST GEOL MINERO ESPANA	3	0.022
INST JACQUES MONOD	3	0.022
INST NACL TECN AEROESPACIAL INTA	3	0.022
INST UNIV FRANCE IUF	3	0.022
INSTITUTE FOR MOLECULAR SCIENCE IMS	3	0.022
INSTITUTE FOR SYSTEMS BIOLOGY ISB	3	0.022
INSTITUTE OF COMPUTATIONAL MODELLING OF THE SIBERIAN BRANCH OF THE RUSSIAN ACADEMY OF SCIENCES	3	0.022
INT RES SCH PLANETARY SCI	3	0.022
INUTEQ LLC	3	0.022
INXITU INC	3	0.022
ISAAC NEWTON GROUP OF TELESCOPES	3	0.022
ISTITUTO DI BIOLOGIA E PATOLOGIA MOLECOLARI IBPM CNR	3	0.022
ISTITUTO DI RICERCA SULLE ACQUE IRSA CNR	3	0.022
ISTITUTO DI SCIENZE DELL ATMOSFERA E DEL CLIMA ISAC CNR	3	0.022
ISTITUTO NAZIONALE PER LA FISICA DELLA MATERIA INFM CNR	3	0.022
ISTITUTO PER LA SINTESI ORGANICA E LA FOTOREATTIVITA ISOF CNR	3	0.022
JACOBS	3	0.022
JACOBS TECHNOL INC	3	0.022
JAMES COOK UNIVERSITY	3	0.022
JAN KOCHANOWSKI UNIVERSITY	3	0.022
JAPAN ATOMIC ENERGY AGENCY	3	0.022
JAPAN SPACE FORUM	3	0.022
JIWAJI UNIVERSITY GWALIOR	3	0.022
JOANNEUM RES	3	0.022
JOHNS HOPKINS BLOOMBERG SCHOOL OF PUBLIC HEALTH	3	0.022
KANSAS STATE UNIVERSITY	3	0.022
KINOHI INST INC	3	0.022
KOREA BASIC SCIENCE INSTITUTE KBSI	3	0.022
KUMAUN UNIVERSITY	3	0.022
LEONARDO	3	0.022
LINCOLN LABORATORY	3	0.022
LITHUANIAN UNIVERSITY OF HEALTH SCIENCES	3	0.022
LOGYX LLC	3	0.022
LOVELY PROFESSIONAL UNIVERSITY	3	0.022
LYON COLL	3	0.022
MAASTRICHT UNIVERSITY	3	0.022
MAIN ASTRONOMICAL OBSERVATORY OF NASU	3	0.022
MARS SOC	3	0.022
MASSEY UNIVERSITY	3	0.022
MECHANICAL ENGINEERING RESEARCH INSTITUTE OF THE RUSSIAN ACADEMY OF SCIENCES	3	0.022
METI INT	3	0.022
MICHIGAN TECHNOLOGICAL UNIVERSITY	3	0.022
MIGAL GALILEE RES INST	3	0.022
MINERAL RESOURCES TASMANIA	3	0.022
MINISTRY OF NATURAL RESOURCES OF THE PEOPLE S REPUBLIC OF CHINA	3	0.022
MIT WOODS HOLE OCEANOG INST	3	0.022
MODERN COLL ARTS SCI COMMERCE	3	0.022
MUSEU ASTRON CIENCIAS AFINS	3	0.022
NARA WOMENS UNIVERSITY	3	0.022
NAT HIST MUSEUM BERN	3	0.022
NAT HIST MUSEUM LOS ANGELES CTY	3	0.022
NATIONAL INSTITUTE FOR ENVIRONMENTAL STUDIES JAPAN	3	0.022
NATIONAL INSTITUTE OF GENETICS NIG JAPAN	3	0.022
NATIONAL OFFICE FOR AEROSPACE STUDIES RESEARCH ONERA	3	0.022
NEW YORK STATE PSYCHIATRY INSTITUTE	3	0.022
NIIGATA INST TECHNOL	3	0.022
NOQSI AEROSP LTD	3	0.022
NORTHEASTERN UNIVERSITY	3	0.022
NORWEGIAN INSTITUTE FOR WATER RESEARCH NIVA	3	0.022
NOVOZYMES	3	0.022
OAKLAND UNIVERSITY	3	0.022
OCCIDENTAL COLLEGE	3	0.022
OHIO UNIVERSITY	3	0.022
PARHEL AEROSP	3	0.022
PENNSYLVANIA MEDICINE	3	0.022
PERTH EXOPLANET SURVEY TELESCOPE	3	0.022
PLANCIUS RES	3	0.022
PONTIFICIA UNIVERSIDADE CATOLICA DO RIO DE JANEIRO	3	0.022
QATAR FOUNDATION QF	3	0.022
QINETIQ GROUP PLC	3	0.022
ROMANIAN ACADEMY OF SCIENCES	3	0.022
ROSCOSMOS	3	0.022
ROYAL MELBOURNE INSTITUTE OF TECHNOLOGY RMIT	3	0.022
RUDJER BOSKOVIC INSTITUTE	3	0.022
SADOVSKY INSTITUTE OF GEOSPHERE DYNAMICS OF THE RUSSIAN ACADEMY OF SCIENCES	3	0.022
SAGINAW VALLEY STATE UNIV	3	0.022
SAINT CLOUD STATE UNIVERSITY	3	0.022
SAVANNAH RIVER ECOLOGY LABORATORY	3	0.022
SCHMIDT INSTITUTE OF PHYSICS OF THE EARTH OF THE RUSSIAN ACADEMY OF SCIENCES	3	0.022
SEJONG UNIVERSITY	3	0.022
SENCKENBERG GESELLSCHAFT FUR NATURFORSCHUNG SGN	3	0.022
SGK NANOSTRUCT INC	3	0.022
SHANDONG UNIVERSITY	3	0.022
SIENA COLL	3	0.022
SIMON BOLIVAR UNIVERSITY	3	0.022
SIMONS FDN	3	0.022
SLOVENIAN ACADEMY OF SCIENCES ARTS SASA	3	0.022
SN BOSE NATIONAL CENTRE FOR BASIC SCIENCE SNBNCBS	3	0.022
SOBOLEV INSTITUTE OF MATHEMATICS	3	0.022
SOC LUPI CHEM RES INST	3	0.022
SOUTH CHINA UNIVERSITY OF TECHNOLOGY	3	0.022
SOUTHERN FEDERAL UNIVERSITY	3	0.022
SPECIAL ASTROPHYSICS OBSERVATORY OF THE RUSSIAN ACADEMY OF SCIENCES	3	0.022
ST FRANCIS UNIV	3	0.022
STONE AEROSP	3	0.022
TARAS SHEVCHENKO NATIONAL UNIVERSITY KIEV	3	0.022
TARTU OBSERVATORY	3	0.022
THE SCIENTIST	3	0.022
THOMAS JEFFERSON HIGH SCH SCI TECHNOL	3	0.022
TOKYO UNIVERSITY OF AGRICULTURE	3	0.022
TOKYO WOMEN S MEDICAL UNIVERSITY	3	0.022
TONGJI UNIVERSITY	3	0.022
TOYO UNIVERSITY	3	0.022
TSINGHUA INT SCH	3	0.022
UES INC	3	0.022
UK CTR ASTROBIOL	3	0.022
UNICANCER	3	0.022
UNION COLLEGE	3	0.022
UNITED STATES FOREST SERVICE	3	0.022
UNIV APPL SCI BONN RHEIN SIEG BRSU	3	0.022
UNIV CALIF DAVIS	3	0.022
UNIV CLERMONT FERRAND	3	0.022
UNIV ESTATAL AMAZONICA	3	0.022
UNIV PUGET SOUND	3	0.022
UNIV S FLORIDA	3	0.022
UNIVERSIDAD ANDRES BELLO	3	0.022
UNIVERSIDAD CENTRAL MARTA ABREU DE LAS VILLAS	3	0.022
UNIVERSIDAD DE ALMERIA	3	0.022
UNIVERSIDAD DE CANTABRIA	3	0.022
UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACION UMCE	3	0.022
UNIVERSIDAD NACIONAL DE SAN AGUSTIN DE AREQUIPA	3	0.022
UNIVERSIDAD POLITECNICA DE MADRID	3	0.022
UNIVERSIDADE CRUZEIRO DO SUL	3	0.022
UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO	3	0.022
UNIVERSIDADE FEDERAL DE SAO PAULO UNIFESP	3	0.022
UNIVERSIDADE FEDERAL DE SERGIPE	3	0.022
UNIVERSITA DELLA CAMPANIA VANVITELLI	3	0.022
UNIVERSITY OF BALTIMORE	3	0.022
UNIVERSITY OF CAMERINO	3	0.022
UNIVERSITY OF COLORADO ANSCHUTZ MEDICAL CAMPUS	3	0.022
UNIVERSITY OF COLORADO DENVER	3	0.022
UNIVERSITY OF DEBRECEN	3	0.022
UNIVERSITY OF KAISERSLAUTERN	3	0.022
UNIVERSITY OF KHARTOUM	3	0.022
UNIVERSITY OF L AQUILA	3	0.022
UNIVERSITY OF NATURAL RESOURCES LIFE SCIENCES VIENNA	3	0.022
UNIVERSITY OF NEUCHATEL	3	0.022
UNIVERSITY OF NEWCASTLE	3	0.022
UNIVERSITY OF NORTH DAKOTA GRAND FORKS	3	0.022
UNIVERSITY OF PUERTO RICO HUMACAO	3	0.022
UNIVERSITY OF PUERTO RICO MEDICAL SCIENCES CAMPUS	3	0.022
UNIVERSITY OF SALERNO	3	0.022
UNIVERSITY OF SAN DIEGO	3	0.022
UNIVERSITY OF SOUTHERN MAINE	3	0.022
UNIVERSITY OF SUSSEX	3	0.022
UNIVERSITY OF TEHRAN	3	0.022
UNIVERSITY OF TEXAS DALLAS	3	0.022
UNIVERSITY OF TULSA	3	0.022
UNIVERSITY OF ZAGREB	3	0.022
UNIVERSITY OF ZARAGOZA	3	0.022
USRA LUNAR PLANETARY INST	3	0.022
UTMD ANDERSON CANCER CENTER	3	0.022
VASSAR COLLEGE	3	0.022
VETAGRO SUP	3	0.022
VON HOERNER SULGER GMBH	3	0.022
WAKE FOREST UNIVERSITY	3	0.022
WEST CHESTER UNIVERSITY OF PENNSYLVANIA	3	0.022
WESTERDIJK FUNGAL BIODIVERSITY INSTITUTE KNAW	3	0.022
WILLIAM MARY	3	0.022
WILLIAM RAINEY HARPER COLL	3	0.022
YALE NUS COLLEGE	3	0.022
YUGRA STATE UNIVERSITY	3	0.022
ZOOLOGICAL INSTITUTE OF THE RUSSIAN ACADEMY OF SCIENCES	3	0.022
ABM SPACE EDUC	2	0.015
ABO AKADEMI UNIVERSITY	2	0.015
ACADIA UNIVERSITY	2	0.015
ACADIAN SEAPLANTS LIMITED	2	0.015
ADELARD INST	2	0.015
AECOM	2	0.015
AKITA UNIVERSITY	2	0.015
ALARA RESOURCES LTD	2	0.015
ALDERS ENGLISH SERV	2	0.015
AMER ASSOC VARIABLE STAR OBSERVERS	2	0.015
AMER TYPE CULTURE COLLECT	2	0.015
AMITY UNIV MUMBAI	2	0.015
AMYRIS INC	2	0.015
ANKARA UNIVERSITY	2	0.015
APPALACHIAN STATE UNIVERSITY	2	0.015
APPARATI INC	2	0.015
ARMAGH OBSERV PLANETARIUM	2	0.015
ASTROBIOL RES TRUST	2	0.015
ASTROOPT	2	0.015
ASTROTECH SOLUT	2	0.015
ATH VENTURES INC	2	0.015
ATMOSPHERIC ENVIRONMENTAL RESEARCH	2	0.015
AUSTIN COLL	2	0.015
AUSTRALIAN DEFENSE FORCE ACADEMY	2	0.015
B VERKIN INSTITUTE FOR LOW TEMPERATURE PHYSICS ENGINEERING OF THE NATIONAL ACADEMY OF SCIENCES OF UKRAINE	2	0.015
BAE SYSTEMS	2	0.015
BAHN BIOTECHNOL CO	2	0.015
BARKATULLAH UNIVERSITY	2	0.015
BARNARD COLL	2	0.015
BAY AREA ENVIRONM RES INST BAERI	2	0.015
BAYER GEOL LANDESAMT	2	0.015
BELTON SPACE EXPLORAT INITIAT LLC	2	0.015
BENEDICTINE UNIV	2	0.015
BERKELEY GEOCHRONOLGY CENTER	2	0.015
BIOSPHER INC	2	0.015
BLEKINGE INSTITUTE TECHNOLOGY	2	0.015
BLUE MARBLE INST SCI	2	0.015
BLUE MARBLE SPACE	2	0.015
BLUE ORIGIN	2	0.015
BOULBY UNDERGROUND LAB	2	0.015
BRANDEIS UNIVERSITY	2	0.015
BRAZILIAN CTR RES ENERGY MAT CNPEM	2	0.015
BRIXIIS OBSERV	2	0.015
BRYANT UNIVERSITY	2	0.015
BUNDESANSTALT GEOWISSENSCH ROHSTOFFE	2	0.015
BUSH HERITAGE AUSTRALIA	2	0.015
CALIFORNIA STATE POLYTECHNIC UNIVERSITY HUMBOLDT	2	0.015
CALIFORNIA STATE UNIVERSITY CHANNEL ISLANDS	2	0.015
CALIFORNIA STATE UNIVERSITY EAST BAY	2	0.015
CALIFORNIA STATE UNIVERSITY SAN MARCOS	2	0.015
CAMPO CATINO ASTRON OBSERV	2	0.015
CANTON LE WILLOWS ACAD	2	0.015
CARL R WOESE INST GENOM BIOL	2	0.015
CARLTON WILLOWS ACAD	2	0.015
CAS CTR EXCELLENCE DEEP EARTH SCI	2	0.015
CASS	2	0.015
CENT BUR SCHIMMELCULTURES	2	0.015
CENTRAL CONNECTICUT STATE UNIVERSITY	2	0.015
CENTRO UNIVERSITARIO DA FEI	2	0.015
CHARLES STURT UNIVERSITY	2	0.015
CHILDREN S HOSPITAL COLORADO	2	0.015
CHINA ACAD SPACE TECHNOL	2	0.015
CHINA AGRICULTURAL UNIVERSITY	2	0.015
CHINA NATL SPACE ADM CNSA	2	0.015
CHRIST UNIVERSITY	2	0.015
CHUNG ANG UNIVERSITY	2	0.015
CIAD CENTRO DE INVESTIGACION EN ALIMENTACION Y DESARROLLO	2	0.015
CIBNOR CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE	2	0.015
CICESE CENTRO DE INVESTIGACION CIENTIFICA Y DE EDUCACION SUPERIOR DE ENSENADA	2	0.015
CIERA	2	0.015
CITADEL LLC	2	0.015
CITY OF HOPE	2	0.015
CITY UNIVERSITY LONDON	2	0.015
CLAREMONT BIOSOLUT LLC	2	0.015
CLARK COLL	2	0.015
CLEVELAND CLINIC FOUNDATION	2	0.015
CNRS INSTITUTE FOR HUMANITIES SOCIAL SCIENCES INSHS	2	0.015
COLD SPRING HARBOR LABORATORY	2	0.015
COMET RES GRP	2	0.015
COMP SCI CORP	2	0.015
COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES	2	0.015
CORK INSTITUTE OF TECHNOLOGY	2	0.015
CRABION	2	0.015
CSIC CENTRO DE INVESTIGACIONES BIOLOGICAS CIB	2	0.015
CSIC ESTACION EXPERIMENTAL DE ZONAS ARIDAS EEZA	2	0.015
CSIC INSTITUTO DE CIENCIA DE MATERIALES DE MADRID ICMM	2	0.015
CSIC INSTITUTO DE CIENCIAS AGRARIAS ICA	2	0.015
CSIC INSTITUTO DE ESTRUCTURA DE LA MATERIA IEM	2	0.015
CSIR CENTRAL SALT MARINE CHEMICAL RESEARCH INSTITUTE CSMCRI	2	0.015
CSIR NATIONAL GEOPHYSICAL RESEARCH INSTITUTE NGRI	2	0.015
CSIR NATIONAL INSTITUTE OF OCEANOGRAPHY NIO	2	0.015
CTR BASIC RES	2	0.015
CTR MATH PLASMA ASTROPHYS	2	0.015
CTR RECH ASTRON LYON	2	0.015
CTR STUDI RIC ENRICO FERMI	2	0.015
CTR STUDY LIFE UNIVERSE	2	0.015
CTR SUPER INVEST SALUD PUBL	2	0.015
CTR THEOL NAT SCI	2	0.015
CUKUROVA UNIVERSITY	2	0.015
CY CERGY PARIS UNIVERSITE	2	0.015
CYTOSKELETON INC	2	0.015
CZECH GEOLOGICAL SURVEY	2	0.015
CZECH TECHNICAL UNIVERSITY PRAGUE	2	0.015
DAWSON COLL	2	0.015
DENISON UNIVERSITY	2	0.015
DEPT ASTROPHYS SCI	2	0.015
DEPT GEOL SCI	2	0.015
DEUTSCHER WETTERDIENST	2	0.015
DIABLO VALLEY COLL	2	0.015
DIAMOND LIGHT SOURCE	2	0.015
DIV TECH INSU	2	0.015
DREXEL UNIVERSITY	2	0.015
DSMZ GERMAN CULTURE COLLECT MICROORGANISMS CELL	2	0.015
DURHAM VA MEDICAL CENTER	2	0.015
DUTCH SPACE BV	2	0.015
EARTH PLANETARY EXPLORAT SERV	2	0.015
EBERHARD KARLS UNIVERSITY HOSPITAL	2	0.015
ECOLE CENTRALE DE LYON	2	0.015
ECOLE PRATIQUE DES HAUTES ETUDES EPHE	2	0.015
EDGE HILL UNIVERSITY	2	0.015
EGYPTIAN KNOWLEDGE BANK EKB	2	0.015
EL SAUCE OBSERV	2	0.015
ELECT PACKAGING MAN	2	0.015
ELIZABETH CITY STATE UNIVERSITY	2	0.015
ENVIRONMENT CLIMATE CHANGE CANADA	2	0.015
ERASMUS MC	2	0.015
ERASMUS UNIVERSITY ROTTERDAM	2	0.015
ERNST MACH INST KURZZEITDYNAM	2	0.015
ESA SSA NEO COORDINAT CTR	2	0.015
ESO ALMA	2	0.015
EUROPEAN ASTROBIOL INST	2	0.015
EUROPEAN MOLECULAR BIOLOGY LABORATORY EMBL	2	0.015
EUROPEAN ORGANIZATION FOR NUCLEAR RESEARCH CERN	2	0.015
EUROPEAN SPACE POLICY INST	2	0.015
EVERGREEN STATE COLL	2	0.015
EXZELLENZCLUSTER ORIGINS	2	0.015
FDN APPL MOL EVOLUT FFAME	2	0.015
FDN SALLE CIENCIAS NAT	2	0.015
FED INST GEOSCI NAT RESOURCES	2	0.015
FEI COMPANY	2	0.015
FINLAND NATIONAL INSTITUTE FOR HEALTH WELFARE	2	0.015
FINNISH GEOSPATIAL RESEARCH INSTITUTE FGI	2	0.015
FLINDERS UNIVERSITY SOUTH AUSTRALIA	2	0.015
FLORIDA A M UNIVERSITY	2	0.015
FLUID SCREEN INC	2	0.015
FRAMEWORK	2	0.015
FRANCISZEK GORSKI INSTITUTE OF PLANT PHYSIOLOGY POLISH ACADEMY OF SCIENCES	2	0.015
FUJITA HEALTH UNIVERSITY	2	0.015
G COLOMBO CTR ASTRODYNAM	2	0.015
GENEFRONTIER CORP	2	0.015
GEO ECO ARC RES	2	0.015
GEOBIOCENTERLMU	2	0.015
GEOL ASSOCIATI FANTUCCI STOCCHI	2	0.015
GEOL SURVEY MINES DEPT	2	0.015
GEOL SURVEY SLOVENIA	2	0.015
GEOL SURVEY SOUTH AUSTRALIA	2	0.015
GEOLOGICAL SURVEY OF DENMARK GREENLAND	2	0.015
GEOMARK RES LTD	2	0.015
GERMAN FED OFF RADIAT PROTECT	2	0.015
GRAN SASSO SCIENCE INSTITUTE GSSI	2	0.015
GRAND VALLEY STATE UNIVERSITY	2	0.015
GUNMA UNIVERSITY	2	0.015
GURU JAMBHESHWAR UNIVERSITY OF SCIENCE TECHNOLOGY	2	0.015
H LEE MOFFITT CANCER CENTER RESEARCH INSTITUTE	2	0.015
HAFMYND EHF	2	0.015
HAMAD BIN KHALIFA UNIVERSITY QATAR	2	0.015
HARTWICK COLL	2	0.015
HAS	2	0.015
HAWAII SPELEOL SURVEY	2	0.015
HAZELWOOD OBSERV	2	0.015
HEFEI UNIVERSITY OF TECHNOLOGY	2	0.015
HINDSIGHT IMAGING INC	2	0.015
HIROSHIMA SHUDO UNIV	2	0.015
HNU NEU ULM UNIV APPL SCI	2	0.015
HOMI BHABHA CENTRE FOR SCIENCE EDUCATION HBCSE MUMBAI	2	0.015
ILLINOIS STATE UNIVERSITY	2	0.015
INDIAN CTR SPACE PHYS	2	0.015
INDONESIAN INSTITUTE OF SCIENCES	2	0.015
INST ASTROBIOL COLOMBIA	2	0.015
INST ASTROPHYS	2	0.015
INST BIOL PHYSICOCHIM	2	0.015
INST ESTUDIOS AVANZADOS BAJA CALIFORNIA	2	0.015
INST NACL TECN AEROSP ESTEBAN TERRADAS INTA	2	0.015
INST PLANT PROTECT NATL RES INST	2	0.015
INST QUANTUM MED SCI	2	0.015
INST SURFACE CHEM	2	0.015
INSTITUT BERGONIE	2	0.015
